ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	717.00	661.00	0.00	33314.00	891754.00	1.00	185.56	0.78	87360.00	891754.00	26.77	0.00	41.00	4.31	18.54	1.47	0.00	26.77	0.00	0.00	0.00	2.45	33314.00	294.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	894.00	693.00	0.00	16471.00	446840.00	1.00	111.03	-2.13	24420.00	446840.00	27.13	8.00	42.00	5.08	25.79	1.31	0.00	27.13	0.00	0.00	0.00	1.87	16471.00	145.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	463.00	500.00	0.00	11364.00	284923.00	1.00	79.63	-1.82	24476.00	284923.00	25.07	7.00	39.00	3.51	12.35	1.51	0.00	25.07	0.00	0.00	0.00	2.04	11364.00	100.48	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	943.00	226.00	0.00	11121.00	289403.00	1.00	80.98	-1.91	27219.00	289403.00	26.02	8.00	38.00	3.98	15.82	1.65	0.00	26.02	0.00	0.00	0.00	2.23	11121.00	98.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	532.00	392.00	0.00	9236.00	237549.00	1.00	105.75	-0.07	16625.00	237549.00	25.72	8.00	35.00	3.79	14.40	1.64	0.00	25.72	0.00	0.00	0.00	1.52	9236.00	81.67	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	997.00	975.00	0.00	9014.00	256397.00	1.00	64.34	-0.02	11781.00	256397.00	28.44	8.00	42.00	5.26	27.64	1.49	0.00	28.44	0.00	0.00	0.00	1.65	9014.00	79.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	811.00	940.00	0.00	8902.00	235387.00	1.00	67.41	-1.76	13671.00	235387.00	26.44	9.00	39.00	4.46	19.93	1.59	0.00	26.44	0.00	0.00	0.00	1.63	8902.00	78.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1190.00	747.00	0.00	8015.00	227387.00	1.00	62.47	-0.16	12905.00	227387.00	28.37	5.00	47.00	5.39	29.04	1.72	0.00	28.37	0.00	0.00	0.00	1.63	8015.00	70.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	921.00	850.00	0.00	7995.00	216288.00	1.00	63.47	0.50	13056.00	216288.00	27.05	9.00	39.00	4.58	20.98	1.49	0.00	27.05	0.00	0.00	0.00	1.64	7995.00	70.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	542.00	243.00	0.00	7631.00	191987.00	1.00	87.33	-1.75	16799.00	191987.00	25.16	7.00	35.00	3.61	13.05	1.55	0.00	25.16	0.00	0.00	0.00	1.73	7631.00	67.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	744.00	196.00	0.00	7595.00	188711.00	1.00	77.12	0.49	14541.00	188711.00	24.85	6.00	37.00	3.87	14.97	1.74	0.00	24.85	0.00	0.00	0.00	1.39	7595.00	67.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	1201.00	565.00	0.00	7526.00	205051.00	1.00	51.38	-1.63	11661.00	205051.00	27.25	6.00	42.00	5.07	25.73	1.75	0.00	27.25	0.00	0.00	0.00	1.83	7526.00	66.55	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	1059.00	739.00	0.00	7267.00	196098.00	1.00	59.98	-1.75	11205.00	196098.00	26.98	7.00	42.00	4.58	20.93	1.57	0.00	26.98	0.00	0.00	0.00	1.56	7267.00	64.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	267.00	720.00	0.00	7265.00	189715.00	1.00	55.50	0.64	17292.00	189715.00	26.11	8.00	34.00	3.53	12.48	1.55	0.00	26.11	0.00	0.00	0.00	1.89	7265.00	64.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	389.00	1023.00	0.00	6922.00	172068.00	1.00	66.24	-0.27	9944.00	172068.00	24.86	7.00	39.00	3.94	15.54	1.31	0.00	24.86	0.00	0.00	0.00	1.53	6922.00	61.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	138.00	659.00	0.00	6413.00	149617.00	1.00	57.43	-1.40	9906.00	149617.00	23.33	9.00	31.00	2.65	7.02	1.28	0.00	23.33	0.00	0.00	0.00	1.50	6413.00	56.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	666.00	380.00	0.00	5905.00	162816.00	1.00	44.27	-1.69	8680.00	162816.00	27.57	8.00	37.00	3.60	12.94	1.66	0.00	27.57	0.00	0.00	0.00	1.73	5905.00	52.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	42.00	557.00	0.00	5826.00	137144.00	1.00	60.75	-0.56	9416.00	137144.00	23.54	6.00	37.00	2.84	8.04	1.36	0.00	23.54	0.00	0.00	0.00	1.42	5826.00	51.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	993.00	303.00	0.00	5820.00	169191.00	1.00	55.22	-1.35	9120.00	169191.00	29.07	6.00	40.00	4.95	24.52	1.67	0.00	29.07	0.00	0.00	0.00	1.48	5820.00	51.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	569.00	546.00	0.00	5496.00	133515.00	1.00	49.51	-1.83	9102.00	133515.00	24.29	9.00	33.00	3.31	10.97	1.49	0.00	24.29	0.00	0.00	0.00	1.54	5496.00	48.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	886.00	170.00	0.00	4900.00	123922.00	1.00	38.65	-1.80	9135.00	123922.00	25.29	9.00	35.00	3.36	11.30	1.58	0.00	25.29	0.00	0.00	0.00	1.84	4900.00	43.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	1613.00	348.00	0.00	4892.00	137656.00	1.00	42.80	-0.93	10323.00	137656.00	28.14	8.00	42.00	5.32	28.29	1.92	0.00	28.14	0.00	0.00	0.00	1.74	4892.00	43.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	1355.00	322.00	0.00	4682.00	133134.00	1.00	46.03	-1.30	8400.00	133134.00	28.44	10.00	39.00	4.91	24.13	1.89	0.00	28.44	0.00	0.00	0.00	1.48	4682.00	41.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	298.00	981.00	0.00	4581.00	121770.00	1.00	58.94	0.49	6351.00	121770.00	26.58	9.00	42.00	3.85	14.80	1.60	0.00	26.58	0.00	0.00	0.00	1.22	4581.00	40.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	1468.00	862.00	0.00	4507.00	134912.00	1.00	60.90	-0.71	6160.00	134912.00	29.93	13.00	48.00	6.48	42.02	1.74	0.00	29.93	0.00	0.00	0.00	1.19	4507.00	39.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	186.00	989.00	0.00	4477.00	128408.00	1.00	58.28	0.70	6150.00	128408.00	28.68	7.00	122.00	9.08	82.50	4.11	0.00	28.68	0.00	0.00	0.00	1.23	4477.00	39.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
27.00	1570.00	835.00	0.00	4465.00	130353.00	1.00	59.15	-0.81	6320.00	130353.00	29.19	13.00	46.00	6.13	37.61	1.74	0.00	29.19	0.00	0.00	0.00	1.19	4465.00	39.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
28.00	714.00	884.00	0.00	4350.00	118875.00	1.00	61.91	0.48	5694.00	118875.00	27.33	15.00	40.00	4.84	23.39	1.49	0.00	27.33	0.00	0.00	0.00	1.16	4350.00	38.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
29.00	116.00	1037.00	0.00	4316.00	106201.00	1.00	56.37	0.55	5840.00	106201.00	24.61	9.00	34.00	2.92	8.54	1.27	0.00	24.61	0.00	0.00	0.00	1.21	4316.00	38.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
30.00	1697.00	917.00	0.00	4236.00	135796.00	1.00	57.25	-0.48	5544.00	135796.00	32.06	13.00	48.00	7.00	49.05	1.85	0.00	32.06	0.00	0.00	0.00	1.18	4236.00	37.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
31.00	962.00	395.00	0.00	3957.00	109993.00	1.00	45.69	-1.84	7038.00	109993.00	27.80	14.00	39.00	4.40	19.38	1.68	0.00	27.80	0.00	0.00	0.00	1.30	3957.00	34.99	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
32.00	326.00	847.00	0.00	3939.00	103559.00	1.00	52.66	-2.25	5624.00	103559.00	26.29	9.00	39.00	3.79	14.36	1.39	0.00	26.29	0.00	0.00	0.00	1.20	3939.00	34.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
33.00	1598.00	742.00	0.00	3915.00	113416.00	1.00	53.93	-0.87	5400.00	113416.00	28.97	14.00	46.00	6.14	37.65	1.78	0.00	28.97	0.00	0.00	0.00	1.18	3915.00	34.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
34.00	1117.00	825.00	0.00	3866.00	111843.00	1.00	58.31	-0.20	4757.00	111843.00	28.93	13.00	41.00	5.72	32.74	1.69	0.00	28.93	0.00	0.00	0.00	1.13	3866.00	34.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
35.00	580.00	1049.00	0.00	3801.00	105659.00	1.00	53.37	-1.74	5002.00	105659.00	27.80	15.00	39.00	4.63	21.44	1.38	0.00	27.80	0.00	0.00	0.00	1.20	3801.00	33.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
36.00	980.00	118.00	0.00	3792.00	99869.00	1.00	48.09	-0.19	5915.00	99869.00	26.34	12.00	37.00	3.72	13.86	1.83	0.00	26.34	0.00	0.00	0.00	1.30	3792.00	33.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
37.00	1473.00	763.00	0.00	3747.00	111594.00	1.00	51.92	-1.04	5304.00	111594.00	29.78	15.00	46.00	5.93	35.20	1.86	0.00	29.78	0.00	0.00	0.00	1.17	3747.00	33.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
38.00	476.00	327.00	0.00	3744.00	93488.00	1.00	47.79	0.49	5372.00	93488.00	24.97	13.00	33.00	3.42	11.68	1.55	0.00	24.97	0.00	0.00	0.00	1.25	3744.00	33.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
39.00	1735.00	702.00	0.00	3736.00	112379.00	1.00	52.08	-0.71	5254.00	112379.00	30.08	13.00	45.00	6.19	38.37	1.86	0.00	30.08	0.00	0.00	0.00	1.17	3736.00	33.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
40.00	802.00	304.00	0.00	3714.00	93450.00	1.00	47.05	0.77	6391.00	93450.00	25.16	11.00	34.00	3.82	14.58	1.56	0.00	25.16	0.00	0.00	0.00	1.29	3714.00	32.84	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
41.00	750.00	453.00	0.00	3693.00	103189.00	1.00	38.60	-2.02	7314.00	103189.00	27.94	9.00	38.00	3.69	13.61	1.72	0.00	27.94	0.00	0.00	0.00	1.62	3693.00	32.65	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
42.00	1701.00	824.00	0.00	3639.00	115957.00	1.00	52.19	-0.42	5082.00	115957.00	31.87	11.00	48.00	6.60	43.55	2.02	0.00	31.87	0.00	0.00	0.00	1.14	3639.00	32.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
43.00	1384.00	774.00	0.00	3621.00	108046.00	1.00	59.00	-1.14	5402.00	108046.00	29.84	15.00	42.00	5.58	31.17	1.67	0.00	29.84	0.00	0.00	0.00	1.11	3621.00	32.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
44.00	482.00	1003.00	0.00	3608.00	91112.00	1.00	46.98	0.53	6192.00	91112.00	25.25	15.00	34.00	3.59	12.91	1.32	0.00	25.25	0.00	0.00	0.00	1.28	3608.00	31.90	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
45.00	1517.00	649.00	0.00	3530.00	102753.00	1.00	52.85	-0.91	4828.00	102753.00	29.11	11.00	43.00	5.58	31.09	1.84	0.00	29.11	0.00	0.00	0.00	1.13	3530.00	31.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
46.00	847.00	819.00	0.00	3489.00	81080.00	1.00	53.56	-1.98	5040.00	81080.00	23.24	10.00	35.00	3.01	9.08	1.39	0.00	23.24	0.00	0.00	0.00	1.13	3489.00	30.85	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
47.00	1645.00	565.00	0.00	3368.00	95295.00	1.00	49.42	-1.00	4473.00	95295.00	28.29	15.00	40.00	5.60	31.35	1.66	0.00	28.29	0.00	0.00	0.00	1.14	3368.00	29.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
48.00	1127.00	662.00	0.00	3358.00	93506.00	1.00	54.00	-0.99	4485.00	93506.00	27.85	14.00	39.00	4.30	18.47	1.66	0.00	27.85	0.00	0.00	0.00	1.09	3358.00	29.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
49.00	238.00	636.00	0.00	3177.00	74996.00	1.00	47.87	-2.23	4347.00	74996.00	23.61	13.00	33.00	2.93	8.59	1.35	0.00	23.61	0.00	0.00	0.00	1.13	3177.00	28.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
50.00	847.00	555.00	0.00	3150.00	85452.00	1.00	53.15	-2.30	4160.00	85452.00	27.13	15.00	39.00	4.12	16.95	1.72	0.00	27.13	0.00	0.00	0.00	1.07	3150.00	27.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
51.00	415.00	576.00	0.00	3063.00	82339.00	1.00	47.33	-2.19	4140.00	82339.00	26.88	14.00	35.00	3.18	10.14	1.65	0.00	26.88	0.00	0.00	0.00	1.11	3063.00	27.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
52.00	404.00	661.00	0.00	3015.00	77088.00	1.00	45.54	-2.33	4225.00	77088.00	25.57	15.00	34.00	2.96	8.76	1.51	0.00	25.57	0.00	0.00	0.00	1.14	3015.00	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
53.00	1640.00	469.00	0.00	2992.00	83808.00	1.00	48.68	-1.11	4148.00	83808.00	28.01	15.00	44.00	6.16	37.98	1.82	0.00	28.01	0.00	0.00	0.00	1.07	2992.00	26.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
54.00	298.00	542.00	0.00	2913.00	75567.00	1.00	46.52	-2.22	4092.00	75567.00	25.94	14.00	34.00	2.86	8.19	1.46	0.00	25.94	0.00	0.00	0.00	1.09	2913.00	25.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
55.00	1125.00	489.00	0.00	2870.00	74326.00	1.00	49.95	-1.34	3591.00	74326.00	25.90	15.00	38.00	4.54	20.59	1.75	0.00	25.90	0.00	0.00	0.00	1.05	2870.00	25.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
56.00	1548.00	485.00	0.00	2860.00	84008.00	1.00	46.81	-0.88	3712.00	84008.00	29.37	9.00	41.00	5.43	29.49	1.78	0.00	29.37	0.00	0.00	0.00	1.08	2860.00	25.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
57.00	55.00	783.00	0.00	2851.00	67614.00	1.00	41.24	0.71	4692.00	67614.00	23.72	12.00	30.00	2.30	5.30	1.34	0.00	23.72	0.00	0.00	0.00	1.19	2851.00	25.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
58.00	1634.00	634.00	0.00	2781.00	88449.00	1.00	45.09	-0.05	3657.00	88449.00	31.80	10.00	45.00	6.09	37.06	2.01	0.00	31.80	0.00	0.00	0.00	1.06	2781.00	24.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
59.00	642.00	100.00	0.00	2755.00	65876.00	1.00	36.76	-1.42	4606.00	65876.00	23.91	7.00	35.00	3.84	14.77	1.79	0.00	23.91	0.00	0.00	0.00	1.21	2755.00	24.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
60.00	1251.00	422.00	0.00	2516.00	70727.00	1.00	43.94	-1.22	3224.00	70727.00	28.11	15.00	38.00	4.20	17.60	1.82	0.00	28.11	0.00	0.00	0.00	1.04	2516.00	22.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
61.00	192.00	584.00	0.00	2476.00	56017.00	1.00	41.74	0.64	3360.00	56017.00	22.62	12.00	29.00	2.40	5.74	1.33	0.00	22.62	0.00	0.00	0.00	1.06	2476.00	21.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
62.00	920.00	584.00	0.00	2378.00	65114.00	1.00	40.41	-0.95	3648.00	65114.00	27.38	13.00	41.00	4.44	19.71	1.53	0.00	27.38	0.00	0.00	0.00	1.09	2378.00	21.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
63.00	1466.00	361.00	0.00	2342.00	66822.00	1.00	43.06	-1.31	3264.00	66822.00	28.53	14.00	41.00	5.20	27.07	1.84	0.00	28.53	0.00	0.00	0.00	1.00	2342.00	20.71	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
64.00	1102.00	342.00	0.00	2338.00	58766.00	1.00	45.23	-1.81	3477.00	58766.00	25.14	15.00	36.00	4.03	16.24	1.81	0.00	25.14	0.00	0.00	0.00	1.00	2338.00	20.67	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
65.00	1084.00	422.00	0.00	2307.00	61613.00	1.00	44.39	-1.37	3074.00	61613.00	26.71	15.00	38.00	4.18	17.44	1.70	0.00	26.71	0.00	0.00	0.00	1.01	2307.00	20.40	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
66.00	1237.00	311.00	0.00	2223.00	62223.00	1.00	42.59	-1.32	2891.00	62223.00	27.99	15.00	38.00	4.14	17.13	1.73	0.00	27.99	0.00	0.00	0.00	1.00	2223.00	19.66	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
67.00	1157.00	405.00	0.00	2201.00	62045.00	1.00	39.00	-1.23	2880.00	62045.00	28.19	15.00	41.00	4.29	18.41	2.01	0.00	28.19	0.00	0.00	0.00	1.02	2201.00	19.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
68.00	641.00	454.00	0.00	2157.00	49256.00	1.00	44.11	-2.11	2550.00	49256.00	22.84	13.00	30.00	2.37	5.59	1.43	0.00	22.84	0.00	0.00	0.00	1.01	2157.00	19.07	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
69.00	71.00	466.00	0.00	2139.00	50474.00	1.00	38.67	-2.21	3192.00	50474.00	23.60	14.00	33.00	2.28	5.21	1.34	0.00	23.60	0.00	0.00	0.00	1.04	2139.00	18.91	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
70.00	818.00	481.00	0.00	2090.00	52586.00	1.00	41.12	-0.72	3304.00	52586.00	25.16	14.00	39.00	3.67	13.44	1.53	0.00	25.16	0.00	0.00	0.00	1.02	2090.00	18.48	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
71.00	1470.00	129.00	0.00	2084.00	56221.00	1.00	40.59	-1.40	2530.00	56221.00	26.98	12.00	37.00	4.79	22.98	2.05	0.00	26.98	0.00	0.00	0.00	0.98	2084.00	18.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
72.00	1191.00	472.00	0.00	2082.00	52841.00	1.00	37.54	-0.82	3355.00	52841.00	25.38	12.00	36.00	3.97	15.79	1.73	0.00	25.38	0.00	0.00	0.00	1.08	2082.00	18.41	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
73.00	1030.00	822.00	0.00	2076.00	60364.00	1.00	33.58	-0.69	3762.00	60364.00	29.08	13.00	42.00	5.12	26.26	1.79	0.00	29.08	0.00	0.00	0.00	1.20	2076.00	18.36	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
